number,threads,repeat,time_ms,modulus_tests,max_rss_kb,factors
600851475143,1,1,0.243356,290128,20040,71x839x1471x6857
600851475143,1,2,0.238726,290128,20040,71x839x1471x6857
600851475143,1,3,0.239996,290128,20040,71x839x1471x6857
600851475143,2,1,0.446856,290128,20040,71x839x1471x6857
600851475143,2,2,0.240868,290128,20040,71x839x1471x6857
600851475143,2,3,0.241199,290128,20040,71x839x1471x6857
600851475143,3,1,0.277657,290128,20040,71x839x1471x6857
600851475143,3,2,0.232665,290128,20040,71x839x1471x6857
600851475143,3,3,0.204101,290128,20040,71x839x1471x6857
600851475143,4,1,0.276621,290128,20040,71x839x1471x6857
600851475143,4,2,0.217875,290128,20040,71x839x1471x6857
600851475143,4,3,0.245586,290128,20040,71x839x1471x6857
600851475143,5,1,0.28767,290128,20040,71x839x1471x6857
600851475143,5,2,0.238343,290128,20040,71x839x1471x6857
600851475143,5,3,0.237148,290128,20040,71x839x1471x6857
600851475143,6,1,0.424635,290128,20040,71x839x1471x6857
600851475143,6,2,0.232439,290128,20040,71x839x1471x6857
600851475143,6,3,0.188675,290128,20040,71x839x1471x6857
600851475143,7,1,0.300987,290128,20040,71x839x1471x6857
600851475143,7,2,0.188347,290128,20040,71x839x1471x6857
600851475143,7,3,0.18944,290128,20040,71x839x1471x6857
600851475143,8,1,0.228733,290128,20040,71x839x1471x6857
600851475143,8,2,0.228157,290128,20040,71x839x1471x6857
600851475143,8,3,0.257739,290128,20040,71x839x1471x6857
9999999967,1,1,0.082067,33332,20040,9999999967
9999999967,1,2,0.081619,33332,20040,9999999967
9999999967,1,3,0.081568,33332,20040,9999999967
9999999967,2,1,0.060894,33332,20040,9999999967
9999999967,2,2,0.054354,33332,20040,9999999967
9999999967,2,3,0.053793,33332,20040,9999999967
9999999967,3,1,0.054145,33332,20040,9999999967
9999999967,3,2,0.039828,33332,20040,9999999967
9999999967,3,3,0.042555,33332,20040,9999999967
9999999967,4,1,0.045677,33332,20040,9999999967
9999999967,4,2,0.03433,33332,20040,9999999967
9999999967,4,3,0.032341,33332,20040,9999999967
9999999967,5,1,0.04152,33332,20040,9999999967
9999999967,5,2,0.030447,33332,20040,9999999967
9999999967,5,3,0.032527,33332,20040,9999999967
9999999967,6,1,0.068616,33332,20040,9999999967
9999999967,6,2,0.027336,33332,20040,9999999967
9999999967,6,3,0.027935,33332,20040,9999999967
9999999967,7,1,0.080224,33332,20040,9999999967
9999999967,7,2,0.030534,33332,20040,9999999967
9999999967,7,3,0.02628,33332,20040,9999999967
9999999967,8,1,0.051476,33332,20040,9999999967
9999999967,8,2,0.031788,33332,20040,9999999967
9999999967,8,3,0.03078,33332,20040,9999999967
899809363,1,1,0.023332,9998,20040,899809363
899809363,1,2,0.023078,9998,20040,899809363
899809363,1,3,0.023093,9998,20040,899809363
899809363,2,1,0.021322,9998,20040,899809363
899809363,2,2,0.018843,9998,20040,899809363
899809363,2,3,0.017367,9998,20040,899809363
899809363,3,1,0.028046,9998,20040,899809363
899809363,3,2,0.017031,9998,20040,899809363
899809363,3,3,0.014894,9998,20040,899809363
899809363,4,1,0.023689,9998,20040,899809363
899809363,4,2,0.013597,9998,20040,899809363
899809363,4,3,0.015137,9998,20040,899809363
899809363,5,1,0.023599,9998,20040,899809363
899809363,5,2,0.01255,9998,20040,899809363
899809363,5,3,0.012876,9998,20040,899809363
899809363,6,1,0.022909,9998,20040,899809363
899809363,6,2,0.012436,9998,20040,899809363
899809363,6,3,0.012846,9998,20040,899809363
899809363,7,1,0.036178,9998,20040,899809363
899809363,7,2,0.011892,9998,20040,899809363
899809363,7,3,0.012195,9998,20040,899809363
899809363,8,1,0.034597,9998,20040,899809363
899809363,8,2,0.012811,9998,20040,899809363
899809363,8,3,0.012793,9998,20040,899809363
