number,threads,avg_time_ms,speedup,parallel_fraction
600851475143,1,0.24069266666666667,1.0,0.0
600851475143,2,0.309641,0.7773281531407877,0.0
600851475143,3,0.23814100000000002,1.0107149405884188,0.015902021665249285
600851475143,4,0.246694,0.975672965968636,0.0
600851475143,5,0.254387,0.9461673224915844,0.0
600851475143,6,0.2819163333333333,0.8537734008553365,0.0
600851475143,7,0.226258,1.06379737585706,0.06996658717386961
600851475143,8,0.23820966666666665,1.010423590422443,0.011789782900383143
9999999967,1,0.08175133333333333,1.0,0.0
9999999967,2,0.056347,1.4508551179891267,0.6215026054620922
9999999967,3,0.04550933333333334,1.7963641157857726,0.6649799799391648
9999999967,4,0.037449333333333334,2.1829850108591162,0.7225488677045022
9999999967,5,0.03483133333333333,2.3470629892625414,0.7174194916290866
9999999967,6,0.04129566666666667,1.9796588826914847,0.5938349629363842
9999999967,7,0.04567933333333333,1.7896787752302281,0.5147805948119092
9999999967,8,0.03801466666666666,2.1505208516011365,0.6114244241247268
899809363,1,0.023167666666666666,1.0,0.0
899809363,2,0.019177333333333334,1.2080755058054646,0.344474339237155
899809363,3,0.019990333333333336,1.1589434893531871,0.20571773880264124
899809363,4,0.01747433333333333,1.3258111897449594,0.32765971732635046
899809363,5,0.016341666666666668,1.4177052524222336,0.3682934549587788
899809363,6,0.016063666666666667,1.442240252329273,0.3679610952045234
899809363,7,0.020088333333333333,1.1532896374346635,0.15506764696008318
899809363,8,0.020067,1.154515705719174,0.15295537088840966
